Tweet,emotiom_raw
"@DalasReview me encanta la terrible hipocresia y doble moral que tiene esta gente, claro, cuando ella te lo quita ILEGALMENTE no importa...",anger~~disgust
me voy a morir sin saber por qué @. y @.. y @... me dieron block y los espantaré cada noche hasta que se arrepientan,fear~~sadness
@tctelevision @calle7tc Terrible  esto!,anger~~disgust~~sadness
"Para tristeza y felicidad, Ed Sheeran al rescate.🙃",joy~~sadness
Le dije por su nombre y cerró la cuenta 😆,anger~~joy~~sadness
@NANCYPAZOS manipularon los resultados de las Pazos... ahora una mesa pro militar...,anger~~disgust
"Que bien se siente pelear de nuevo, aunque esté bien tronco ",anger~~joy
"@fiooresilva Fuera de joda si vi a tu hermana, vos sos la unica amargada que no sale nunca!!",anger~~disgust~~sadness
"@a_tupper Un gran deportista, maldita depresión también se llevó a mi hermana menor.",anger~~sadness
Mi enojo dura 5 minutos y después ya te extraño.,anger~~sadness
"No se, que hago todavía despierta 😟",sadness~~surprise
@KarlaSc24 Mañana voy a visitarte mejor 🙆 así de -casi- sorpresa ☺💕,joy~~surprise
Bola de pendejos sin madre los que están asaltando coches en medio del tráfico #Rabia,anger~~disgust
@omarfdosk8 @CaracolTV @DesafioCaracol Andrea fea mala aburrida gafa odiosa estupida sisañera chismosa etc etc etc,anger~~disgust
No llevo ni 1h despierto y ya he tenido que pegarme una carrera para intentar pillar el tren... y perderlo. 😥,anger~~sadness
Mi sobrina sigue en cama. No ha comido en varias horas. Parece que la energía del cuerpo se le ha ido. La luz le molesta un poco. #tristeza,fear~~sadness
"Arreglo la moto y la vendo a la mierda, podrido de renegar ",anger~~disgust
El PERÚ está cansado de tanta Podredumbre Porquería y Kagadas del PresidenteDeLUJO!  No acierta una! Se dispara a los pies! NO AMA AL PERÚ!,anger~~disgust
"Al cura le da miedo ponerlo yo creo, ya esta muy grande la maria elsa pa un cura #PerdonaNuestrosPecados",anger~~fear
"Como me van a decir gobernada, estoy indignada.",anger~~disgust
Mañana en Ayunas 😭😭  Chingue su madre 😄,anger~~sadness
Me puse a escuchar spring day mientras comía papas fritas y terminé llorando me supero cada día,sadness~~surprise
"Yo me muerdo la lengua por no insultar, y a me lo devuelven así. Veo donde radica el mínimo respeto y educación 😐",anger~~disgust
el amargo sabor a traición,anger~~disgust~~sadness
El Rey diciendo a l@s catalanes lo qué deben ser x coj... Madre qué país. Ah que ha dicho algo de l@s catalanes herid@s x la poli... #ironía,anger~~disgust~~sadness
"@Jonathan_Hdez3 si llegas a mi casa con unas así no me enojo, hasta te dejo entrar",anger~~joy
"Estaba viendo una peli de terror y así de la nada, a mitad de la peli  comienzan a coger dos minas ahre de que me perdí dije",fear~~surprise
"Sospecho de María Dolores de Cospedal con una oreo envenenada, en el comedor",anger~~disgust
"@hum0r @EPN ajajajjaa. Perdón, my Lord. Estoy a 1 minuto de que deje de darme risa, no a menos, como a 5 😂",anger~~joy
Terrible tarta de ricotaa,disgust~~joy
@europapress Es lo menos que se puede pedir y esperar ante tal afrenta golpista.,anger~~disgust
"Una noche ahogada en llanto, me juré a mi misma que no volvería a dejar que me tratarán como si no valiera nada.",anger~~sadness
@Jhosy2121 Cuándo me he enojado contigo oe JAJAJAJA la hago un finde!,anger~~joy
"Uy, sí. Como me encanta ésta situación y como hay mil trucos #ironía. No hay arreglo, se reconstruye solo.",anger~~joy
"La parte en la que Clegane le dice ""No engañas a nadie con ese rodete. Calvo de mierda"" 😂😂😂😂 yo estaba llorando",joy~~sadness
A disfrutar este fin de semana porque el lunes se me acaba la dicha.😶,joy~~sadness
"Qué feo irse a dormir con bronca o tristeza no se que es, pero creo que es sensibilidad 😩",anger~~sadness
@cova_21 Joer pones cara de Kondogbia en su presentación... #susto,fear~~surprise
"Quiero que mi hermana mire el internado y no quiere, es una soreta.. 😭",anger~~sadness
"que les agarro asco, en ésta última, la minita rubia, de ojos claros, resentida porque se la cogió y se fue a buscar un tesoro +",anger~~disgust
"@lesxlex Okay tu ganas, no eres amargada, claramente en esa foto se ve que eres suuuuuper buena onda.",joy~~surprise
"@vaymosxpartes Insultos, denunciar la corrupción es insultar?",anger~~disgust
@NanaBlurl Como asturiana postiza estoy: indignada.,anger~~disgust
Que pena pero a mi nadie tiene porque reclamarme las polas qué me tome!,anger~~sadness
Alguien se anda ganando su mentadita de madre ,anger~~disgust~~joy
"La canción de ""oye mujer"" es la cosa más desagradable y corriente que puede existir ugh! No la tolero ...",anger~~disgust
Hoy me atendió un mozo q me gustó. Llegué a mi casa y no se cómo mierda hice pero ya averigüe nombre apellido y gusto musical entre otros.,anger~~joy
No voy a decir que borralo porque cada vez que lo digo es peor ,anger~~sadness
Un asco a la gente resentida..,anger~~disgust
algunas personas tienen suerte de q tenga tanta paciencia xq ya las hubiese mando a la mierda,anger~~disgust
Unas pelis de terror👌😝 @lolo_ok02 ,fear~~joy
"No sabía que estabas tan desesperada, chére.",sadness~~surprise
@la_huitlacocha Es una sorpresa 💁🙈🙈 Adivina... 😁,joy~~surprise
Estoy rodeada de personas muy resentida. 😔,disgust~~sadness
Ayer pri se re enojo por que la descansábamos por audio con mi herma 😂😂😂,anger~~joy
Ya me arrepentí de haber mandado ese mensaje. 😟,anger~~sadness
Pican jjjuerte los mosquitos ,anger~~disgust
"@fotosguate Dichoso que tienes, yo debo, pero pagarlo😢 😂😂😂",joy~~sadness
La manipulación del poder en forma déspota es una afrenta contra la democracia y esto favorece la corrupción. #corrupciónColombia,anger~~disgust
Sufro de insomnio provocado por la estupida guardia,anger~~disgust
"Les juro que si alguien me viera en mi fase de fangirl loca y obsesionada nivel Dios, se asustaría y probablemente no me vuelva a hablar 🙃",fear~~joy
"@Miotroyo2parte @amparelampa Solo hay que verle la cara de amargada, gentuza y aborto viviente. Para comprender todo. Asco dais asco !!!!!",anger~~disgust
"cuando empezó todo me prometí que no pasarían algunas cosas, y hoy... paso!!! #decepcionada #triste #enojada",anger~~sadness
"@manuelrosalesg Verdad ? Te creemos ? Tu huiste como lo q eres un traidor y cobarde, después negociaste tu salida con esas ratas del  Psuv",anger~~disgust
"Lo peor es que como solo te atienden por mail, no se hacen cargo!, la atención al cliente post venta es de #terror @DespegarAr",anger~~fear
no toda sorpresa es agradable u.u,disgust~~sadness~~surprise
Ellos darían hasta su vida por nosotros y hay personas que los maltratan y menosprecian. 😭,anger~~sadness
"Mi nombre es Max desperté en mí coche cerca de casa ,voy a casa ahora pero las fotos de mi teléfono me dicen que no será lo mismo ",sadness~~surprise
"Xq el silencio de los ""opositores"" @SergioMassa y @RandazzoF sobre el atropello a la procuraduría??",anger~~sadness
"Mi mayor problema es que no puedo estar enfadado. Siempre termino perdonando a las personas, incluso cuando no lo merecen.😚",anger~~joy
"Si tomó su vida por su decisión o por un juicio impedido por una trastorno depresivo mayor, es asunto de él. Mientras no sepan, no juzguen.",anger~~disgust
"Vergüenza me hace pasar Meli , perdón mami por las amigas que tengo jajaj",anger~~joy
Queee uraaaaaa 😡😡😡😡😡😡,anger~~sadness
Acá acostada re depre viendo #CaniggiaLibre  jajajaja ,joy~~sadness
"Alguien puede explicarme la lógica de #TripTank? Por más que le busco lo gracioso, sólo quedo con la sensación de #WTF?",anger~~disgust
odio que me toquen el cuello que sensacion horrible no me gusta,anger~~disgust
"Odio la gente cerrada, que no se deja ayudar. Para colmo la mayoría de la gente que quiero es así ",anger~~disgust
"""al principio me pareciste muy divertida y jamas me diste el avionazo o te fuiste, la culpa es mía, no vuelvo a hablarte""",anger~~sadness
Ya me entró ansiedad y ganas de llorar porque me acaba de caer la cuenta de el poco espacio y falta de privacidad que tendré...,fear~~sadness
"por esas cosas de la vida, ayer tristeza, hoy alegría",joy~~sadness
@edrovill @JocF08 Te encargo lo incómodo que es 😥,disgust~~sadness
"@cquirarte Qué feo que venga la alegría se este prestando a esta farsa me dé secciona no pensé ver esto en tvz , eso solo en Televisa",anger~~disgust
"Merlí, How to get away, 13 reasons, Stranger things, Narcos.. se van a dignar en aparecer denuevo algun dia? Me tienen abandonada..",anger~~sadness
@estevograndal @DDominguez_10 @carlosbertalo_ El palo  no va a funcionar subnormal😤,anger~~disgust
@p_legancemodels @Lenin El voto más vergonzoso y repugnante de mi vida.,anger~~disgust
"@RACCAR Claro, por eso Guilty Gear Xrd o Dragon Ball FighterZ son una caca... #Ironía",anger~~disgust
"Pon a cantar rancheras a Vicente Fernández y José José. Uno no domina el género, sería 1 encuentro ridículo. Lo mismo pienso de esta ""pelea""",anger~~disgust
"Despertar a esta hora y sin sueño, es un insulto para mis 8 horas de descanso.",anger~~disgust~~sadness
Indignación en España por declaraciones que comparan a aztecas con nazis 10:19 am,anger~~disgust
