text,label
La Gran Guerra de #JuegoDeTronos nos ha dejado muchos momentos para el recuerdo y unas cuantas dudas https://t.co/UE7lCgLSez https://t.co/OO3tjUR34c,6
El golpe de Estado en #Venezuela está más lejos que el final de Elif. #VenezuelaEnBatallaYVictoria #VenezuelaNoSeRinde #VenezuelaHoy,6
No tengo una foto en la catedral de #NotreDame pero tengo esta secuencia hermosa... https://t.co/cwcdHASGIu,2
#NotreDame nunca llegue a visitar tan grandiosa construcción. Solo vista en imágenes y videos.. 😭,2
A tomar por culo mi crush 😭😭😭😭😭#JuegoDeTronos,2
Bueno declaro Moscú la nueva y renovada Messigrado. #BarçaLFC #ChampionsLeague,6
Huelga Internacional Contra el Cambio Climático 15 de Marzo. Rebélate contra la extinción de especies y la crisis ecológica Madrid: Manifestación desde Sol hasta el Congreso de los Diputados (12.00h) #Fridaysforfuture #Madridseune #Strike4Climate #GretaThunberg #NobelPeacePrize https://t.co/KKxC153GUQ,6
"""Sofia es mujer para un rico y yo soy pobre y humilde"" #28A #ELDEBATEenRTVE #Supervivientes2019 #DiaDelLibro #SomosLaAudiencia23A https://t.co/KRGTArTPsr",6
"Ya se fue, lo hubiese hecho hace años y evitaba matar tanta gente... #VenezuelaLibre #FueraAsesino https://t.co/b9Co0OIPhl",6
➡️AVANCE INFORMATIVO ▪️Valoraciones de los resultados de las #ElecccionesGenerales28A ▪️Constitución de la Federación Regional de Regentes 13:30 horas en USER y USER 📻 https://t.co/Ga67yXNbM2,6
ARYA DE MI VIDA. ERES MAS ÉPICA QUE EL GOL DE INIESTA JODER #JuegodeTronos #VivePoniente,3
Mirad le he hecho a USER un edit de #JuegodeTronos Se que es una gilipollez pero os gusta??? https://t.co/y7NXdMvHQE,6
8 temporadas para que en un capítulo se echen a casi todos.... La cago.... #JuegodeTronos #GameofThrones,0
¡Nos alegramos mucho de que te haya gustado! ¡Feliz #DiadelLibro https://t.co/8fu9WW11gy,3
"Con el objetivo de fomentar la lectura, rendir homenaje a los libros y escritores que por siglos nos han transmitido conocimientos a través de sus letras, celebramos el #DíaDelLibro y del Derecho de Autor. https://t.co/wkLklLH2gc",6
¿Cuánta mierda pueden tener en la cabeza los que apoyan la dictadura de Maduro? ¿No se dan cuenta de su ignorancia y completa falta de empatía? Que vergüenza... #VenezuelaLibre,0
Y ahora yo como me duermo después de este vaivén de emociones? Solo diré una cosa: BRU-TAL en todos los sentido de la palabra #got #gameofthrones #JuegodeTronos,6
"Servicio público y literario En la 45° Feria Internacional del Libro en Buenos Aires se puede encontrar esta joya a sólo 150 pesos argentinos (3,5 usd aprox.) #DíaDelLibro #JoséAntonioRamosSucre #PoesíaVenezolana #LiteraturaLatinoamericana ❧ #LosCuadernosDelDestierro https://t.co/MhAHn0dLQE",3
Tendré que volver a ver el capítulo de #JuegoDeTronos porque no me he enterado de nada con tanta oscuridad y una dirección tan mediocre,0
"El escrutinio en el Senado va mucho más lento. Solo el 14,85% del voto escrutado #28A #ElecccionesGenerales28A https://t.co/mUdEpyDG89",6
Ni perdiendo 71 escaños borra de su cara Pablo Casado esa molesta sonrisa de gilipollas. #EleccionesL6 #ElecccionesGenerales28A,0
"USER USER USER USER USER El Gobierno de #España hace un llamamiento para que se celebren, inmediatamente, elecciones democráticas #Venezuela Aún están a tiempo evitar un derramamiento de sangre",6
Nadie ha matado al rey nocturno... 😎 Team Arya 😍 #JuegodeTronos https://t.co/OdqRY99Inf,3
"¿Saben con que pudieorn haber apagado el incendio de #NotreDame ? Así es, con los elefantes que le negaron a Cersei #GameofThrones https://t.co/cIp9UHei82",6
"#GretaThunberg, la joven inspiración por la responsabilidad climática https://t.co/pebQY8cio5",6
Rosalía #JuegoDeTronos Me traicionaste .... por la espalda.. https://t.co/eTthYjyqsI,0
"#Venezuela otra escalación de violencia: ejercito contra seguidores de USER . Es suficiente el apoyo de las Fuerzas Armadas contra Maduro???Sin fragmentar los poderes fácticos y sobre todo el poder de los militares, no se puede dar una paso hacia la democracia https://t.co/1mF9rEnl9H",2
El Messi de hoy deslumbra! Que nivel #ChampionsLeague,5
"Bueno, y como #AsíEsLaChola asistí al #klimaatmars en Bruselas para ver a #GretaThunberg. Desde el tren que partió de Leuven pude ver a los cientos de jóvenes que iban a la marcha. Algunos iban con sus carteles muy felices de poder ir.",6
El arbitro apoyando al Liverpool FLORENTINO #ChampionsLeague https://t.co/eHRKPn1Npc,6
"No somos la España fragmentada, somos la España plural de siempre #ElecccionesGenerales28A",6
#GretaThunberg Con el #15deMayo no aprendimos nada. A ver que pasa con el #15deMarzo y la lección que recibimos con mensaje de esta niña. Cada vez más y más jóvenes luchando por el #futuro que ya les pertenece https://t.co/LxHaTtNhjE,6
"Messi empezó bien, termina mal. El físico del argentino le juega en contra a los 40' del PT. #ChampionsLeague",6
Este hilo es la prueba irrefutable de que jamás hemos vivido una jornada electoral más tensa que la de las #ElecccionesGenerales28A #28A https://t.co/M5y2pJPhvH,6
"USER que buena idea, la verdad es que enamorarse de un libro o una serie y leerla al completo es de lo mejor.... que grato saber que piensas en estas cosas presidente USER un ejemplo mas de humildad y buen corazon #DíaDelLibro📖",3
"Este capitulo de #JuegodeTronos dura 90 minutos, el mas largo de la temporada y posiblemente de toda la serie. Disfruten.",6
La #CIDH se reune de urgencia para analizar situación de #Venezuela vía EFE,6
Un USER muy enredado.. fácil rival para USER #championsleague,3
"O sea, no es por mí que lamento lo de #NotreDame, es por ti, y por todas las gargolas del mundo...",6
"Por el #DíaDelLibro, Amazon está regalando nueve ebooks internacionales, entre ellos el de una autora mexicana 🤗 https://t.co/hEabLXefjX",5
#ChampionsLeague USER apestas a campeon... Te odio.,4
"¡AY, POR FAVOR! Seguidores de Maduro marchan este #27Abr para celebrar la salida del régimen de la OEA (+Fotos) #Venezuela #30Abril https://t.co/REFwuOQ7FD",0
El puto amo Leo Messi #Messi 600 goles #ChampionsLeague https://t.co/TVK0adBhNW,3
